column,group,in_DV_1,in_DV_2,type_DV_1,type_DV_2,source_DV_1,source_DV_2,expr_DV_1,expr_DV_2
AVG_WH_TEMP,SHARED,Y,Y,NUMBER,NUMBER,BASE,BASE,PWEL_DAY_STATUS.AVG_WH_TEMP,PWEL_DAY_STATUS.AVG_WH_TEMP
AVG_WH_USC_PRESS,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.AVG_WH_USC_PRESS,
BS_W,ONLY DV_1,Y,,NUMBER,,BASE,,PWEL_DAY_STATUS.BS_W,
CALC_ON_STREAM_HRS,ONLY DV_1,Y,,NUMBER,,FUNCTION,,"EcDp_Well.getPwelOnStreamHrs(pwel_day_status.object_id, pwel_day_status.daytime)",
CHOKE_MM,SHARED,Y,Y,NUMBER,NUMBER,FUNCTION,FUNCTION,"EcBp_Well_Choke.convertToMilliMeter(pwel_day_status.object_id, pwel_day_status.daytime, pwel_day_status.avg_choke_size)","EcBp_Well_Choke.convertToMilliMeter(pwel_day_status.object_id, pwel_day_status.daytime, pwel_day_status.avg_choke_size)"
CHOKE_PROD,SHARED,Y,Y,VARCHAR2(4000),VARCHAR2(4000),FUNCTION,FUNCTION,"ec_choke_version.name(ec_well_version.choke_id(pwel_day_status.object_id, pwel_day_status.daytime, '<='),pwel_day_status.daytime, '<=')","ec_choke_version.name(ec_well_version.choke_id(pwel_day_status.object_id, pwel_day_status.daytime, '<='),pwel_day_status.daytime, '<=')"
CHOKE_PROD_DATE,SHARED,Y,Y,DATE,DATE,OTHER,OTHER,oa.choke_date,oa.choke_date
CHOKE_UOM,SHARED,Y,Y,VARCHAR2(4000),VARCHAR2(4000),FUNCTION,FUNCTION,"ec_prosty_codes.code_text(OA.CHOKE_UOM,'CHOKE_UOM')","ec_prosty_codes.code_text(ec_well_version.CHOKE_UOM(pwel_day_status.object_id,pwel_day_status.daytime, '<='),'CHOKE_UOM')"
CLASS_NAME,SHARED,Y,Y,CHAR(15),CHAR(17),OTHER,OTHER,-- Generated by ecdp_viewlayer 'PWEL_DAY_STATUS',-- Generated by ecdp_viewlayer 'PWEL_DAY_STATUS_2'
COMMENTS,SHARED,Y,Y,VARCHAR2(2000),VARCHAR2(2000),BASE,BASE,PWEL_DAY_STATUS.COMMENTS,PWEL_DAY_STATUS.COMMENTS
